SEQNO,SYSID,JOBNAME,MSGID,TIMESTMP,USERID,TEXT,LABEL
1,MVSF,USER325,IEF403I,09.50.16,OPSS,-WTO2,normal
2,MVSF,OPSS,EZZ6034E,09.02.02,OPSS,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
3,MVSF,PM0,IEF196I,09.44.21,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
4,MVSF,PM0,IEF403I,09.28.51,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
5,MVSF,USER325M,IEF403I,09.06.36,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
6,MVSF,USER325M,IEF196I,09.05.22,SYSOP,IP..PORT: 66.167.166.156..8996,normal
7,MVSF,OPSS,IEF403I,09.45.08,USER325,-WTO2,normal
8,MVSF,USER325M,PREFIX,09.18.58,START1,-WTO4,normal
9,MVSF,PM0,IEF403I,09.18.13,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
10,MVSF,USER325M,EZZ6034I,09.25.54,USER325M,-WTO2,normal
11,MVSF,JES2,PMO396I,09.52.27,OPSS,-WTO2,normal
12,MVSF,OPSS,IEF403I,09.14.24,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
13,MVSF,PM0,EZZ6034I,09.31.19,USER325,IP..PORT: 66.167.166.156..8996,normal
14,MVSF,PM0,PMO396I,09.39.54,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
15,MVSF,OPSS,IEF285I,09.51.35,OPSS,-WTO1,normal
16,MVSF,USER325M,IEF285I,09.26.03,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
17,MVSF,PM0,PMO396I,09.36.39,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
18,MVSF,USER325M,IEF403I,09.00.13,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
19,MVSF,USER325,EZZ6034E,09.25.31,USER325,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
20,MVSF,USER325M,EZZ6034E,09.01.19,OPSS,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
21,MVSF,USER325,CRIT1000,09.59.56,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
22,MVSF,USER325,PMO388I,09.45.02,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
23,MVSF,START1,PMO396I,09.51.33,USER325,$HASP395 USER325M ENDED - RC=0000,normal
24,MVSF,START1,EZZ6034I,09.30.49,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
25,MVSF,START1,IEF196I,09.15.02,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
26,MVSF,JES2,IEF285I,09.22.33,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
27,MVSF,START1,IEF403I,09.09.01,SYSOP,IP..PORT: 66.167.166.156..8996,normal
28,MVSF,OPSS,PMO388I,09.06.37,START1,$HASP395 USER325M ENDED - RC=0000,normal
29,MVSF,OPSS,EZZ6034I,09.27.29,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
30,MVSF,USER325,IEF285I,09.28.48,USER325,-WTO2,normal
31,MVSF,OPSS,IEF196I,09.44.31,SYSOP,IP..PORT: 66.167.166.156..8996,normal
32,MVSF,USER325M,PREFIX,09.33.09,START1,-WTO4,normal
33,MVSF,OPSS,IEF196I,09.26.39,USER325M,-WTO1,normal
34,MVSF,USER325,CRIT1000,09.12.57,USER325M,ALERT: Disk usage at 95% - action required,critical
35,MVSF,PM0,EZZ6034I,09.21.24,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
36,MVSF,START1,PMO396I,09.05.28,USER325,-WTO1,normal
37,MVSF,OPSS,IEF196I,09.38.53,USER325,-WTO2,normal
38,MVSF,CONSOLE,IEF196I,09.13.56,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
39,MVSF,CONSOLE,EZZ6034I,09.51.19,OPSS,-STEPEND,normal
40,MVSF,START1,PMO396I,09.14.33,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
41,MVSF,CONSOLE,IEF403I,09.19.27,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
42,MVSF,PM0,IEF403I,09.55.46,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
43,MVSF,OPSS,IEF285I,09.50.40,SYSOP,-STEPEND,normal
44,MVSF,PM0,IEF285I,09.43.17,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
45,MVSF,JES2,IEF196I,09.18.53,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
46,MVSF,START1,CRIT1000,09.48.10,START1,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
47,MVSF,START1,IEF196I,09.02.27,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
48,MVSF,CONSOLE,IEF285I,09.54.20,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
49,MVSF,JES2,IEF285I,09.38.13,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
50,MVSF,USER325M,DBSERR01,09.01.41,USER325,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
51,MVSF,USER325,PMO388I,09.53.45,OPSS,-WTO2,normal
52,MVSF,JES2,PMO388I,09.31.25,USER325M,-WTO2,normal
53,MVSF,PM0,DBSERR01,09.13.11,START1,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
54,MVSF,PM0,CRIT1000,09.57.35,SYSOP,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
55,MVSF,OPSS,IEF403I,09.07.24,SYSOP,-WTO1,normal
56,MVSF,USER325M,CRIT1000,09.39.21,USER325,ALERT: Disk usage at 95% - action required,critical
57,MVSF,CONSOLE,EZZ6034E,09.29.26,OPSS,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
